[root@pacstat1 pssh]# sh batch-get.sh 
[118] 21:40:40 [SUCCESS] 10.10.8.42
[119] 21:40:40 [SUCCESS] 10.10.8.52
[120] 21:40:40 [SUCCESS] 10.10.8.37
[121] 21:40:40 [SUCCESS] 10.10.8.53
[122] 21:40:40 [SUCCESS] 10.10.8.38
[123] 21:40:40 [SUCCESS] 10.10.8.40
[124] 21:40:40 [SUCCESS] 10.10.0.70
[125] 21:40:40 [SUCCESS] 10.10.0.104
[126] 21:40:40 [SUCCESS] 10.10.8.36
[127] 21:40:40 [SUCCESS] 10.10.0.105
[128] 21:40:40 [SUCCESS] 10.10.56.21
[129] 21:40:40 [SUCCESS] 10.10.0.109
[130] 21:40:40 [SUCCESS] 10.10.232.10
[131] 21:40:40 [SUCCESS] 10.10.120.22
[132] 21:40:40 [SUCCESS] 10.10.0.71
[133] 21:40:40 [SUCCESS] 10.10.0.110
[134] 21:40:40 [SUCCESS] 10.10.56.25
[135] 21:40:40 [SUCCESS] 10.10.232.20
[136] 21:40:40 [SUCCESS] 10.10.56.16
[137] 21:40:40 [SUCCESS] 10.10.232.19
[138] 21:40:40 [SUCCESS] 10.10.56.30
[139] 21:40:40 [SUCCESS] 10.10.56.14
[140] 21:40:40 [SUCCESS] 10.10.56.24
[141] 21:40:40 [SUCCESS] 10.10.56.38
[142] 21:40:40 [SUCCESS] 10.10.56.15
[143] 21:40:40 [SUCCESS] 10.10.56.22
[144] 21:40:40 [SUCCESS] 10.10.56.31
[145] 21:40:40 [SUCCESS] 10.10.56.11
[146] 21:40:40 [SUCCESS] 10.10.56.29
[147] 21:40:40 [SUCCESS] 10.10.56.23
[148] 21:40:40 [SUCCESS] 10.10.56.41
[149] 21:40:40 [SUCCESS] 10.10.56.12
[150] 21:40:40 [SUCCESS] 10.10.56.55
[151] 21:40:40 [SUCCESS] 10.10.56.27
[152] 21:40:40 [SUCCESS] 10.10.56.56
[153] 21:40:40 [SUCCESS] 10.10.56.13
[154] 21:40:40 [SUCCESS] 10.10.56.26
[155] 21:40:40 [SUCCESS] 10.10.56.58
[156] 21:40:40 [SUCCESS] 10.10.56.32
[157] 21:40:40 [SUCCESS] 10.10.56.28
[158] 21:40:40 [SUCCESS] 10.10.56.40
[159] 21:40:40 [SUCCESS] 10.10.56.45
[160] 21:40:40 [SUCCESS] 10.10.56.46
[161] 21:40:40 [SUCCESS] 10.10.56.42
[162] 21:40:40 [SUCCESS] 10.10.56.35
[163] 21:40:40 [SUCCESS] 10.10.56.60
[164] 21:40:40 [SUCCESS] 10.10.56.67
[165] 21:40:40 [SUCCESS] 10.10.56.59
[166] 21:40:40 [SUCCESS] 10.10.56.57
[167] 21:40:40 [SUCCESS] 10.10.56.49
[168] 21:40:40 [SUCCESS] 10.10.56.66
[169] 21:40:40 [SUCCESS] 10.10.56.61
[170] 21:40:40 [SUCCESS] 10.10.56.65
[171] 21:40:40 [SUCCESS] 10.10.56.71
[172] 21:40:40 [SUCCESS] 10.10.56.83
[173] 21:40:40 [SUCCESS] 10.10.56.75
[174] 21:40:40 [SUCCESS] 10.10.56.87
[175] 21:40:40 [SUCCESS] 10.10.56.74
[176] 21:40:40 [SUCCESS] 10.10.56.82
[177] 21:40:40 [SUCCESS] 10.10.56.73
[178] 21:40:40 [SUCCESS] 10.10.56.81
[179] 21:40:40 [SUCCESS] 10.10.56.84
[180] 21:40:40 [SUCCESS] 10.10.56.211
